TokenIndex,DetectionIndex,BurstIteration,CacheSet,Probe
0,0,12,47,42
0,0,12,48,36
0,0,12,49,38
0,0,12,50,36
0,0,12,51,36
0,0,12,52,38
0,0,12,53,36
0,0,12,54,36
0,0,12,55,34
0,0,12,56,38
0,0,12,57,38
0,0,12,58,40
0,0,12,59,36
0,0,12,60,36
0,0,12,61,40
0,0,12,62,40
0,0,12,63,40
0,0,13,0,36
0,0,13,1,40
0,0,13,2,36
0,0,13,3,34
0,0,13,4,36
0,0,13,5,34
0,0,13,6,36
0,0,13,7,40
0,0,13,8,36
0,0,13,9,36
0,0,13,10,40
0,0,13,11,36
0,0,13,12,38
0,0,13,13,36
0,0,13,14,36
0,0,13,15,36
0,0,13,16,40
0,0,13,17,40
0,0,13,18,40
0,0,13,19,38
0,0,13,20,34
0,0,13,21,36
0,0,13,22,38
0,0,13,23,34
0,0,13,24,34
0,0,13,25,36
0,0,13,26,32
0,0,13,27,36
0,0,13,28,36
0,0,13,29,34
0,0,13,30,40
0,0,13,31,36
0,0,13,32,36
0,0,13,33,40
0,0,13,34,38
0,0,13,35,34
0,0,13,36,34
0,0,13,37,36
0,0,13,38,34
0,0,13,39,40
0,0,13,40,36
0,0,13,41,40
0,0,13,42,38
0,0,13,43,34
0,0,13,44,36
0,0,13,45,38
0,0,13,46,36
0,0,13,47,40
0,0,13,48,38
0,0,13,49,36
0,0,13,50,34
0,0,13,51,36
0,0,13,52,36
0,0,13,53,36
0,0,13,54,38
0,0,13,55,40
0,0,13,56,36
0,0,13,57,36
0,0,13,58,40
0,0,13,59,40
0,0,13,60,34
0,0,13,61,36
0,0,13,62,36
0,0,13,63,34
0,0,14,0,38
0,0,14,1,36
0,0,14,2,40
0,0,14,3,38
0,0,14,4,36
0,0,14,5,38
0,0,14,6,36
0,0,14,7,36
0,0,14,8,32
0,0,14,9,34
0,0,14,10,36
0,0,14,11,36
0,0,14,12,36
0,0,14,13,38
0,0,14,14,40
0,0,14,15,36
0,0,14,16,40
0,0,14,17,36
0,0,14,18,40
0,0,14,19,36
0,0,14,20,34
0,0,14,21,38
0,0,14,22,34
0,0,14,23,34
0,0,14,24,36
0,0,14,25,36
0,0,14,26,36
0,0,14,27,34
0,0,14,28,36
0,0,14,29,36
0,0,14,30,38
0,0,14,31,36
0,0,14,32,36
0,0,14,33,40
0,0,14,34,36
0,0,14,35,38
0,0,14,36,36
0,0,14,37,36
0,0,14,38,38
0,0,14,39,38
0,0,14,40,36
0,0,14,41,36
0,0,14,42,36
0,0,14,43,36
0,0,14,44,38
0,0,14,45,36
0,0,14,46,34
0,0,14,47,38
0,0,14,48,34
0,0,14,49,36
0,0,14,50,40
0,0,14,51,36
0,0,14,52,38
0,0,14,53,32
0,0,14,54,38
0,0,14,55,34
0,0,14,56,38
0,0,14,57,34
0,0,14,58,34
0,0,14,59,38
0,0,14,60,36
0,0,14,61,36
0,0,14,62,38
0,0,14,63,40
0,1,0,0,38
0,1,0,1,36
0,1,0,2,34
0,1,0,3,36
0,1,0,4,46
0,1,0,5,36
0,1,0,6,38
0,1,0,7,40
0,1,0,8,38
0,1,0,9,34
0,1,0,10,34
0,1,0,11,36
0,1,0,12,38
0,1,0,13,36
0,1,0,14,36
0,1,0,15,64
0,1,0,16,38
0,1,0,17,38
0,1,0,18,40
0,1,0,19,40
0,1,0,20,36
0,1,0,21,40
0,1,0,22,36
0,1,0,23,36
0,1,0,24,76
0,1,0,25,40
